       Memory Used RSA         Memory Used ECC     Encryption Time RSA     Encryption Time ECC     Decryption Time RSA     Decryption Time ECC            CPU Usage RSA             CPU Usage ECC
----------------------  ----------------------  ----------------------  ----------------------  ----------------------  ----------------------  -----------------------  ------------------------
0.00000762939453125000  0.00000000000000000000  0.00600004196166992188  0.01299953460693359375  0.08400011062622070312  0.00099992752075195312  13.90000000000000035527   16.69999999999999928946
0.00000000000000000000  0.00000000000000000000  0.00700116157531738281  0.01499676704406738281  0.08600091934204101562  0.00200247764587402344  19.19999999999999928946   37.50000000000000000000
0.00001144409179687500  0.00000381469726562500  0.00699901580810546875  0.01499986648559570312  0.08500027656555175781  0.00199937820434570312  20.30000000000000071054   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00700211524963378906  0.01300144195556640625  0.08499765396118164062  0.00199961662292480469  20.80000000000000071054    9.09999999999999964473
0.00000000000000000000  0.00000000000000000000  0.00699853897094726562  0.01299905776977539062  0.08599638938903808594  0.00200009346008300781  25.00000000000000000000   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00699925422668457031  0.01500058174133300781  0.08499932289123535156  0.00099897384643554688  18.10000000000000142109   50.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00800037384033203125  0.01400017738342285156  0.08499932289123535156  0.00099921226501464844  21.39999999999999857891   25.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00699615478515625000  0.01299953460693359375  0.08500409126281738281  0.00099921226501464844  21.60000000000000142109   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00700116157531738281  0.01500177383422851562  0.08300042152404785156  0.00099778175354003906  18.80000000000000071054   37.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00699949264526367188  0.01300311088562011719  0.08400177955627441406  0.00199604034423828125  17.50000000000000000000   37.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00699901580810546875  0.01400184631347656250  0.08400130271911621094  0.00199508666992187500  18.50000000000000000000   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00599980354309082031  0.01699829101562500000  0.08400058746337890625  0.00200271606445312500  16.69999999999999928946   37.50000000000000000000
0.00000381469726562500  0.00000000000000000000  0.00699949264526367188  0.01500058174133300781  0.08400106430053710938  0.00199913978576660156  16.10000000000000142109   62.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00599956512451171875  0.01499819755554199219  0.08500003814697265625  0.00100326538085937500  17.50000000000000000000   25.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00700235366821289062  0.01399946212768554688  0.08499908447265625000  0.00200009346008300781  25.00000000000000000000   37.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00600028038024902344  0.01499915122985839844  0.08500099182128906250  0.00200176239013671875  21.10000000000000142109   18.80000000000000071054
0.00000762939453125000  0.00000762939453125000  0.00699925422668457031  0.01499938964843750000  0.09000229835510253906  0.00100088119506835938  34.70000000000000284217   37.50000000000000000000
0.00000381469726562500  0.00000000000000000000  0.00700068473815917969  0.01600313186645507812  0.08600115776062011719  0.00199937820434570312  21.00000000000000000000  100.00000000000000000000
0.00001525878906250000  0.00001144409179687500  0.00899720191955566406  0.01500272750854492188  0.09300374984741210938  0.00200033187866210938  38.00000000000000000000   58.79999999999999715783
0.00000381469726562500  0.00000000000000000000  0.00800013542175292969  0.01600050926208496094  0.10499835014343261719  0.00099968910217285156  65.70000000000000284217   50.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00600051879882812500  0.01299953460693359375  0.08400011062622070312  0.00099968910217285156  15.59999999999999964473   11.09999999999999964473
0.00001907348632812500  0.00000000000000000000  0.00699639320373535156  0.01299953460693359375  0.08299970626831054688  0.00099968910217285156  16.39999999999999857891   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00699567794799804688  0.01399707794189453125  0.08599829673767089844  0.00099992752075195312  17.19999999999999928946   12.50000000000000000000
0.00000000000000000000  0.00000762939453125000  0.00599718093872070312  0.01400017738342285156  0.08500170707702636719  0.00200033187866210938  20.00000000000000000000   18.80000000000000071054
0.00000000000000000000  0.00000000000000000000  0.00799918174743652344  0.01399707794189453125  0.08399987220764160156  0.00099968910217285156  18.39999999999999857891   11.09999999999999964473
0.00000000000000000000  0.00000000000000000000  0.00800013542175292969  0.01200032234191894531  0.08399605751037597656  0.00200295448303222656  20.00000000000000000000   25.00000000000000000000
0.00000381469726562500  0.00000381469726562500  0.00699877738952636719  0.01300096511840820312  0.08300161361694335938  0.00099873542785644531  14.50000000000000000000   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00700068473815917969  0.01199936866760253906  0.08299970626831054688  0.00200128555297851562  13.59999999999999964473   25.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00700092315673828125  0.01500010490417480469  0.08299970626831054688  0.00200009346008300781  15.40000000000000035527   25.00000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00800085067749023438  0.01399850845336914062  0.08499932289123535156  0.00200009346008300781  23.10000000000000142109   11.09999999999999964473
0.00000000000000000000  0.00000381469726562500  0.00700116157531738281  0.01399874687194824219  0.08699846267700195312  0.00099968910217285156  28.69999999999999928946   62.50000000000000000000
0.00000000000000000000  0.00001144409179687500  0.00700306892395019531  0.01499962806701660156  0.08700203895568847656  0.00200057029724121094  28.10000000000000142109   12.50000000000000000000
0.00000000000000000000  0.00000000000000000000  0.00599908828735351562  0.01299905776977539062  0.08400177955627441406  0.00200057029724121094  19.00000000000000000000   12.50000000000000000000
